 Planeta             v_0             T^2/R^3
 Mercúrio    10.061148632539163       0.99995958293379983     
 Vênus       7.4048048969306102       0.99999915230576486     
 Terra        6.2831853071795862       0.99999999999616751     
 Marte        5.0963362487929960       0.99999801823285250     
 Júpiter     2.7553590302269777       0.99999925427974001     
 Saturno      2.0670162113025627       0.99999940779423491     
 Urano        1.4343078687082953        1.0000057891531255     
 Netuno       1.1460020123254901       0.99998429827741742     
 Plutão     0.99896834555382164       0.99994995282637744     
